op,dtype,layout,mem,accepted,pcc_or_reason,input_range,pcc,ulp
acosh,bfloat8_b,rm,block,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,bfloat4_b,rm,block,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,float32,rm,block,OK,pass,[1.1..5.0],0.999999,39469.000
acosh,int32,rm,block,OK,fail,[1..49],,
acosh,uint32,rm,block,OK,fail,[1..49],,
acosh,uint16,rm,block,OK,fail,[1..49],,
acosh,uint8,rm,block,OK,fail,[1..49],,
add,bfloat16,tile,dram,OK,pass,[0.1..0.85],0.999987,1.000
add,bfloat8_b,tile,dram,OK,pass,[0.1..0.85],0.999870,8.000
add,bfloat4_b,tile,dram,OK,pass,[0.1..0.85],0.970548,
add,float32,tile,dram,OK,pass,[0.1..0.85],1.000000,0.000
add,int32,tile,dram,OK,pass,[1..49],1.000000,
add,uint32,tile,dram,OK,pass,[1..49],0.999999,
add,uint16,tile,dram,OK,pass,[1..49],1.000000,
add,uint8,tile,dram,FAIL,"TT_FATAL @ /home/ubuntu/tt-metal/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::ADD",[1..49],,
add,bfloat16,tile,l1,OK,pass,[0.1..0.85],0.999986,1.000
add,bfloat8_b,tile,l1,OK,pass,[0.1..0.85],0.999859,8.000
add,bfloat4_b,tile,l1,OK,pass,[0.1..0.85],0.968778,
add,float32,tile,l1,OK,pass,[0.1..0.85],1.000000,0.000
add,int32,tile,l1,OK,pass,[1..49],1.000000,
add,uint32,tile,l1,OK,pass,[1..49],1.000000,
add,uint16,tile,l1,OK,pass,[1..49],1.000000,
add,uint8,tile,l1,FAIL,"TT_FATAL @ /home/ubuntu/tt-metal/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::ADD",[1..49],,
add,bfloat16,tile,height,OK,pass,[0.1..0.85],0.999987,1.000
add,bfloat8_b,tile,height,OK,pass,[0.1..0.85],0.999848,8.000
add,bfloat4_b,tile,height,OK,pass,[0.1..0.85],0.968691,
add,float32,tile,height,OK,pass,[0.1..0.85],1.000000,0.000
add,int32,tile,height,OK,pass,[1..49],1.000000,
add,uint32,tile,height,OK,pass,[1..49],1.000000,
add,uint16,tile,height,OK,pass,[1..49],1.000000,
